T F7 F3 F4 F8 T3 C3 Cz C4 T5 P3 Pz P4 T6 O1 O2
0.585 -4.404 -8.315 -11.69 0.4045 -8.674 -10.29 -16.9 -8.135 -9.483 -9.409 -12.13 -16.97 -14.11 -16.9 -23.73
0.59 -10.07 -11.06 -11.96 -2.876 -11.51 -11.1 -19.55 0.6742 -9.393 -9.057 -13.63 -13.19 -8.719 -21.84 -24
0.595 -13.3 -11.64 -12.09 -7.551 -11.73 -8.854 -20.72 5.213 -9.348 -7.562 -11.26 -7.826 -1.888 -21.75 -20.31
0.6 -10.34 -8 -11.96 -10.11 -9.483 -4.045 -19.19 3.011 -8.899 -3.869 -4.836 -3.429 3.416 -16 -14.11
0.605 -2.067 -0.1798 -9.483 -8.09 -5.843 2.652 -13.48 -1.393 -7.056 2.11 3.957 -0.8793 5.663 -6.202 -6.921
0.61 6.112 9.303 -3.326 -1.708 -1.663 10.97 -3.685 -1.663 -3.281 9.585 12.49 1.055 5.124 5.213 -0.08989
0.615 10.07 17.12 5.034 6.157 2.921 19.01 7.73 2.876 2.562 17.06 18.29 2.902 3.416 15.28 5.483
0.62 11.15 21.21 11.55 11.78 7.326 24 16.99 7.326 8.764 22.95 20.22 4.485 2.247 22.02 9.618
0.625 12.4 21.8 14.07 13.26 11.15 24.94 21.8 8.584 13.35 25.41 19.79 5.892 2.157 25.17 12.85
0.63 14.65 20.76 13.98 11.42 14.11 23.46 22.56 8.584 14.88 24.18 19.52 7.474 2.607 25.89 15.37
0.635 17.35 19.64 14.02 7.73 15.46 20.85 21.35 10.11 13.39 20.31 19.79 8.53 2.427 24.72 16.45
0.64 18.52 18.56 15.15 3.64 13.89 16.67 19.42 13.03 10.29 15.21 19.08 8.354 1.708 21.3 15.55
0.645 15.46 15.37 16.27 1.079 9.573 10.7 15.96 14.47 6.966 9.409 15.39 7.298 1.079 15.1 12.4
0.65 7.101 8.27 15.01 1.393 4.36 4.18 9.213 11.42 4.449 3.166 8.002 5.628 1.079 6.292 7.011
0.655 -3.506 -1.528 9.393 4.539 0.6742 -1.843 -1.169 1.888 2.607 -3.429 -2.462 2.638 0.8989 -4.045 -0.4494
0.66 -10.43 -9.933 0.3596 8.045 -0.5393 -6.787 -12.72 -11.82 0.4045 -9.761 -13.89 -2.11 -0.7191 -14.2 -8.719
0.665 -10.97 -13.44 -8.045 9.034 0.04494 -9.663 -21.21 -22.56 -2.966 -14.86 -23.04 -7.386 -3.955 -21.93 -15.64
0.67 -8 -11.82 -10.83 6.022 0.6742 -9.528 -23.46 -23.78 -6.831 -17.41 -26.91 -10.99 -7.73 -25.08 -19.51
0.675 -5.213 -8.18 -7.371 0.5393 -0.809 -8.135 -19.73 -17.26 -9.888 -16.8 -25.15 -12.4 -10.61 -23.37 -20.31
0.68 -3.955 -5.978 -1.573 -4.719 -5.438 -8.674 -13.3 -10.79 -11.69 -13.89 -20.14 -12.57 -11.69 -18.79 -19.15
0.685 -4.135 -6.966 1.573 -7.056 -12.18 -12.04 -7.685 -9.573 -12.54 -11.08 -15.12 -12.22 -11.24 -14.02 -17.08
0.69 -6.292 -10.07 0.1348 -6.292 -17.62 -15.73 -4.629 -12.22 -12.9 -10.11 -11.78 -11.52 -10.25 -10.61 -14.65
0.695 -10.16 -12.45 -5.079 -5.483 -18.92 -17.3 -4.09 -14.88 -12.63 -10.2 -10.29 -10.9 -9.708 -8.539 -11.78
0.7 -13.84 -12.22 -11.19 -7.551 -16 -16.45 -4.674 -14.88 -11.28 -9.761 -9.673 -10.29 -8.989 -6.831 -7.82
0.705 -16.18 -10.11 -14.61 -12.04 -10.92 -13.93 -5.483 -11.51 -8.449 -7.738 -8.705 -8.793 -6.831 -4.494 -2.157
0.71 -17.44 -8.449 -13.48 -15.37 -6.472 -10.83 -6.112 -5.843 -4.629 -5.1 -6.859 -5.804 -3.056 -1.618 4.135
0.715 -16.54 -8.584 -9.124 -14.11 -4.719 -8.674 -7.146 -1.483 -1.663 -3.957 -5.979 -2.814 0.8989 -0.08989 8.27
0.72 -11.96 -9.438 -4.854 -8.809 -5.978 -8.989 -8.629 -1.079 -1.124 -5.452 -7.826 -1.231 3.506 -1.888 8.629
0.725 -5.393 -9.213 -2.337 -3.056 -8.809 -10.29 -9.663 -2.652 -2.787 -8.705 -10.99 -0.6155 4.315 -6.292 5.933
0.73 -1.169 -6.966 -0.809 -0.1348 -10.47 -9.169 -8.36 -1.348 -4.315 -10.38 -10.73 1.055 4.404 -9.169 2.787
0.735 -0.6292 -2.697 1.708 -0.1348 -8.944 -3.91 -2.831 4.944 -3.101 -6.683 -3.693 4.485 5.303 -6.022 1.438
0.74 -0.6292 3.416 5.978 -0.1348 -4.449 4.494 7.506 14.11 1.348 2.726 9.585 9.145 7.281 3.685 2.697
0.745 2.607 10.61 11.06 2.697 1.888 13.66 20.18 22.83 7.236 14.51 24.36 13.81 9.708 16.18 5.483
0.75 9.169 17.48 14.88 7.955 8.494 21.62 30.11 28.04 11.6 23.21 34.38 16.71 10.88 25.53 7.371
0.755 16.54 22.29 14.16 11.06 13.57 25.8 31.55 25.75 12.94 25.59 35.44 16 9.708 27.42 6.472
0.76 21.3 23.06 7.056 7.281 15.28 23.55 21.84 13.84 11.51 21.81 27.35 11.26 7.191 21.75 3.146
0.765 19.78 18.02 -4.18 -2.876 12.94 15.24 3.82 -3.416 9.213 14.25 14.25 4.485 5.213 12.94 0
0.77 10.34 7.506 -14.16 -13.35 7.685 4.225 -15.01 -17.21 7.281 5.979 1.407 -1.143 4.764 6.022 -1.169
